ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2013,,,141,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2014,,,144,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2015,,,144,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2016,,,147,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2017,,,123,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2018,,,123,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2019,,,123,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2020,,,123,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2021,,,137,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2022,2,1,136,1.5,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2023,,,136,,,,,,,,,,,
40,King Nehale,Bat-eared Fox,2024,,,131,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2010,,,128,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2011,,,128,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2012,,,167,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2013,,,141,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2014,,,144,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2015,,,144,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2016,,,147,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2017,,,123,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2018,,,123,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2019,,,123,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2020,,,123,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2021,,,137,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2022,,,136,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2023,,,136,,,,,,,,,,,
40,King Nehale,Burchell's Zebra,2024,,,131,,,,,,,,,,,
40,King Nehale,Caracal,2010,,,128,,,,,,,,,,,
40,King Nehale,Caracal,2011,,,128,,,,,,,,,,,
40,King Nehale,Caracal,2012,,,167,,,,,,,,,,,
40,King Nehale,Caracal,2013,,,141,,,,,,,,,,,
40,King Nehale,Caracal,2014,,,144,,,,,,,,,,,
40,King Nehale,Caracal,2015,1,1,144,0.7,,,,,,,,,,
40,King Nehale,Caracal,2016,,,147,,,,,,,,,,,
40,King Nehale,Caracal,2017,,,123,,,,,,,,,,,
40,King Nehale,Caracal,2018,,,123,,,,,,,,,,,
40,King Nehale,Caracal,2019,,,123,,,,,,,,,,,
40,King Nehale,Caracal,2020,,,123,,,,,,,,,,,
40,King Nehale,Caracal,2021,,,137,,,,,,,,,,,
40,King Nehale,Caracal,2022,,,136,,,,,,,,,,,
40,King Nehale,Caracal,2023,,,136,,,,,,,,,,,
40,King Nehale,Caracal,2024,,,131,,,,,,,,,,,
40,King Nehale,Cheetah,2010,,,128,,,,,,,,,,,
40,King Nehale,Cheetah,2011,,,128,,,,,,,,,,,
40,King Nehale,Cheetah,2012,,,167,,,,,,,,,,,
40,King Nehale,Cheetah,2013,,,141,,,,,,,,,,,
40,King Nehale,Cheetah,2014,,,144,,,,,,,,,,,
40,King Nehale,Cheetah,2015,,,144,,,,,,,,,,,
40,King Nehale,Cheetah,2016,,,147,,,,,,,,,,,
40,King Nehale,Cheetah,2017,,,123,,,,,,,,,,,
40,King Nehale,Cheetah,2018,,,123,,,,,,,,,,,
40,King Nehale,Cheetah,2019,,,123,,,,,,,,,,,
40,King Nehale,Cheetah,2020,,,123,,,,,,,,,,,
40,King Nehale,Cheetah,2021,,,137,,,,,,,,,,,
40,King Nehale,Cheetah,2022,,,136,,,,,,,,,,,
40,King Nehale,Cheetah,2023,,,136,,,,,,,,,,,
40,King Nehale,Cheetah,2024,,,131,,,,,,,,,,,
40,King Nehale,Dik Dik,2010,,,128,,,,,,,,,,,
40,King Nehale,Dik Dik,2011,,,128,,,,,,,,,,,
40,King Nehale,Dik Dik,2012,,,167,,,,,,,,,,,
40,King Nehale,Dik Dik,2013,,,141,,,,,,,,,,,
40,King Nehale,Dik Dik,2014,,,144,,,,,,,,,,,
40,King Nehale,Dik Dik,2015,,,144,,,,,,,,,,,
40,King Nehale,Dik Dik,2016,,,147,,,,,,,,,,,
40,King Nehale,Dik Dik,2017,,,123,,,,,,,,,,,
40,King Nehale,Dik Dik,2018,,,123,,,,,,,,,,,
40,King Nehale,Dik Dik,2019,,,123,,,,,,,,,,,
40,King Nehale,Dik Dik,2020,,,123,,,,,,,,,,,
40,King Nehale,Dik Dik,2021,,,137,,,,,,,,,,,
40,King Nehale,Dik Dik,2022,,,136,,,,,,,,,,,
40,King Nehale,Dik Dik,2023,,,136,,,,,,,,,,,
40,King Nehale,Dik Dik,2024,,,131,,,,,,,,,,,
40,King Nehale,Duiker,2010,,,128,,,,,,,,,,,
40,King Nehale,Duiker,2011,,,128,,,,,,,,,,,
40,King Nehale,Duiker,2012,,,167,,,,,,,,,,,
40,King Nehale,Duiker,2013,,,141,,,,,,,,,,,
40,King Nehale,Duiker,2014,,,144,,,,,,,,,,,
40,King Nehale,Duiker,2015,1,1,144,0.7,,,,,,,,,,
40,King Nehale,Duiker,2016,3,2,147,2,,,,,,,,,,
40,King Nehale,Duiker,2017,,,123,,,,,,,,,,,
40,King Nehale,Duiker,2018,2,2,123,1.6,,,,,,,,,,
40,King Nehale,Duiker,2019,,,123,,,,,,,,,,,
40,King Nehale,Duiker,2020,,,123,,,,,,,,,,,
40,King Nehale,Duiker,2021,1,1,137,0.7,,,,,,,,,,
40,King Nehale,Duiker,2022,,,136,,,,,,,,,,,
