Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
Cheetah,2012,,,1070,,,,,,,,,,,,,
Cheetah,2013,,,900,,,,,,,,,,,,,
Cheetah,2014,1,1,896,0.1,,,,,,,,,,,,
Cheetah,2015,,,896,,,,,,,,,,,,,
Cheetah,2016,,,917,,,,,,,,,,,,,
Cheetah,2017,,,858,,,,,,,,,,,,,
Cheetah,2018,,,851,,,,,,,,,,,,,
Cheetah,2019,,,864,,,,,,,,,,,,,
Cheetah,2020,,,858,,,,,,,,,,,,,
Cheetah,2021,,,928,,,,,,,,,,,,,
Cheetah,2022,,,911,,,,,,,,,,,,,
Cheetah,2023,,,974,,,,,,,,,,,,,
Cheetah,2024,,,1060,,,,,,,,,,,,,
Dik Dik,2003,,,,,,,,,,,,,,,,
Dik Dik,2004,,,,,,,,,,,,,,,,
Dik Dik,2005,,,,,,,,,,,,,,,,
Dik Dik,2006,,,,,,,,,,,,,,,,
Dik Dik,2007,,,,,,,,,,,,,,,,
Dik Dik,2008,,,,,,,,,,,,,,,,
Dik Dik,2009,,,204,,,,,,,,,,,,,
Dik Dik,2010,,,852,,,,,,,,,,,,,
Dik Dik,2011,,,1019,,,,,,,,,,,,,
Dik Dik,2012,,,1070,,,,,,,,,,,,,
Dik Dik,2013,2,1,900,0.2,,,,,,,,,,,,
Dik Dik,2014,,,896,,,,,,,,,,,,,
Dik Dik,2015,,,896,,,,,,,,,,,,,
Dik Dik,2016,,,917,,,,,,,,,,,,,
Dik Dik,2017,1,1,858,0.1,,,,,,,,,,,,
Dik Dik,2018,,,851,,,,,,,,,,,,,
Dik Dik,2019,,,864,,,,,,,,,,,,,
Dik Dik,2020,,,858,,,,,,,,,,,,,
Dik Dik,2021,,,928,,,,,,,,,,,,,
Dik Dik,2022,,,911,,,,,,,,,,,,,
Dik Dik,2023,,,974,,,,,,,,,,,,,
Dik Dik,2024,,,1060,,,,,,,,,,,,,
Duiker,2003,1,1,,,,,,,,,,,,,,
Duiker,2004,6,5,,,,,,,,,,,,,,
Duiker,2005,,,,,,,,,,,,,,,,
Duiker,2006,,,,,,,,,,,,,,,,
Duiker,2007,,,,,,,,,,,,,,,,
Duiker,2008,,,,,,,,,,,,,,,,
Duiker,2009,,,204,,,,,,,,,,,,,
Duiker,2010,11,11,852,1.3,,,,,,,,,,,,
Duiker,2011,12,12,1019,1.2,,,,,,,,,,,,
Duiker,2012,48,43,1070,4.5,,,,,,,,,,,,
Duiker,2013,69,61,900,7.7,,,,,,,,,,,,
Duiker,2014,55,45,896,6.1,,,,,,,,,,,,
Duiker,2015,42,39,896,4.7,,,,,,,,,,,,
Duiker,2016,47,43,917,5.1,,,,,,,,,,,,
Duiker,2017,45,34,858,5.2,,,,,,,,,,,,
Duiker,2018,27,23,851,3.2,,,,,,,,,,,,
Duiker,2019,22,17,864,2.5,,,,,,,,,,,,
Duiker,2020,27,23,858,3.1,,,,,,,,,,,,
Duiker,2021,16,16,928,1.7,,,,,,,,,,,,
Duiker,2022,17,14,911,1.9,,,,,,,,,,,,
