Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
Ostrich,2019,33,9,864,3.8,,,,,,,,,,,,
Ostrich,2020,24,10,858,2.8,,,,,,,,,,,,
Ostrich,2021,3,3,928,0.3,,,,,,,,,,,,
Ostrich,2022,40,7,911,4.4,,,,,,,,,,,,
Ostrich,2023,21,7,974,2.2,,,,,,,,,,,,
Ostrich,2024,11,1,1060,1,,,,,,,,,,,,
Porcupine,2003,,,,,,,,,,,,,,,,
Porcupine,2004,,,,,,,,,,,,,,,,
Porcupine,2005,,,,,,,,,,,,,,,,
Porcupine,2006,,,,,,,,,,,,,,,,
Porcupine,2007,,,,,,,,,,,,,,,,
Porcupine,2008,,,,,,,,,,,,,,,,
Porcupine,2009,,,204,,,,,,,,,,,,,
Porcupine,2010,,,852,,,,,,,,,,,,,
Porcupine,2011,,,1019,,,,,,,,,,,,,
Porcupine,2012,,,1070,,,,,,,,,,,,,
Porcupine,2013,,,900,,,,,,,,,,,,,
Porcupine,2014,,,896,,,,,,,,,,,,,
Porcupine,2015,2,2,896,0.2,,,,,,,,,,,,
Porcupine,2016,,,917,,,,,,,,,,,,,
Porcupine,2017,,,858,,,,,,,,,,,,,
Porcupine,2018,3,1,851,0.4,,,,,,,,,,,,
Porcupine,2019,,,864,,,,,,,,,,,,,
Porcupine,2020,,,858,,,,,,,,,,,,,
Porcupine,2021,,,928,,,,,,,,,,,,,
Porcupine,2022,,,911,,,,,,,,,,,,,
Porcupine,2023,,,974,,,,,,,,,,,,,
Porcupine,2024,,,1060,,,,,,,,,,,,,
Scrub hare,2003,,,,,,,,,,,,,,,,
Scrub hare,2004,,,,,,,,,,,,,,,,
Scrub hare,2005,,,,,,,,,,,,,,,,
Scrub hare,2006,,,,,,,,,,,,,,,,
Scrub hare,2007,,,,,,,,,,,,,,,,
Scrub hare,2008,,,,,,,,,,,,,,,,
Scrub hare,2009,,,204,,,,,,,,,,,,,
Scrub hare,2010,,,852,,,,,,,,,,,,,
Scrub hare,2011,,,1019,,,,,,,,,,,,,
Scrub hare,2012,,,1070,,,,,,,,,,,,,
Scrub hare,2013,,,900,,,,,,,,,,,,,
Scrub hare,2014,,,896,,,,,,,,,,,,,
Scrub hare,2015,,,896,,,,,,,,,,,,,
Scrub hare,2016,,,917,,,,,,,,,,,,,
Scrub hare,2017,,,858,,,,,,,,,,,,,
Scrub hare,2018,,,851,,,,,,,,,,,,,
Scrub hare,2019,,,864,,,,,,,,,,,,,
Scrub hare,2020,2,2,858,0.2,,,,,,,,,,,,
Scrub hare,2021,1,1,928,0.1,,,,,,,,,,,,
Scrub hare,2022,,,911,,,,,,,,,,,,,
Scrub hare,2023,,,974,,,,,,,,,,,,,
Scrub hare,2024,,,1060,,,,,,,,,,,,,
Spotted Hyaena,2003,,,,,,,,,,,,,,,,
Spotted Hyaena,2004,,,,,,,,,,,,,,,,
Spotted Hyaena,2005,,,,,,,,,,,,,,,,
Spotted Hyaena,2006,,,,,,,,,,,,,,,,
Spotted Hyaena,2007,,,,,,,,,,,,,,,,
Spotted Hyaena,2008,,,,,,,,,,,,,,,,
Spotted Hyaena,2009,,,204,,,,,,,,,,,,,
Spotted Hyaena,2010,,,852,,,,,,,,,,,,,
Spotted Hyaena,2011,,,1019,,,,,,,,,,,,,
Spotted Hyaena,2012,,,1070,,,,,,,,,,,,,
Spotted Hyaena,2013,,,900,,,,,,,,,,,,,
Spotted Hyaena,2014,,,896,,,,,,,,,,,,,
Spotted Hyaena,2015,,,896,,,,,,,,,,,,,
Spotted Hyaena,2016,1,1,917,0.1,,,,,,,,,,,,
Spotted Hyaena,2017,,,858,,,,,,,,,,,,,
Spotted Hyaena,2018,,,851,,,,,,,,,,,,,
Spotted Hyaena,2019,,,864,,,,,,,,,,,,,
Spotted Hyaena,2020,1,1,858,0.1,,,,,,,,,,,,
Spotted Hyaena,2021,,,928,,,,,,,,,,,,,
Spotted Hyaena,2022,,,911,,,,,,,,,,,,,
Spotted Hyaena,2023,,,974,,,,,,,,,,,,,
Spotted Hyaena,2024,,,1060,,,,,,,,,,,,,
Springbok,2003,81,20,,,,,,,,,,,,,,
Springbok,2004,162,29,,,,,,,,,,,,,,
Springbok,2005,136,20,,,,,,,,,,,,,,
Springbok,2006,303,32,,,,,,,,,,,,,,
Springbok,2007,333,41,,,,,,,,,,,,,,
Springbok,2008,250,50,,,,,,,,,,,,,,
Springbok,2009,658,42,204,321.9,,,,,,,,,,,,
Springbok,2010,2903,271,852,340.8,,,,,,,,,,,,
Springbok,2011,1492,172,1019,146.4,,,,,,,,,,,,
Springbok,2012,818,112,1070,76.5,,,,,,,,,,,,
Springbok,2013,1017,109,900,113,,,,,,,,,,,,
Springbok,2014,911,117,896,101.6,,,,,,,,,,,,
Springbok,2015,813,135,896,90.7,,,,,,,,,,,,
Springbok,2016,735,124,917,80.1,,,,,,,,,,,,
Springbok,2017,725,98,858,84.5,,,,,,,,,,,,
Springbok,2018,1411,145,851,165.8,,,,,,,,,,,,
Springbok,2019,880,98,864,101.8,,,,,,,,,,,,
Springbok,2020,504,63,858,58.8,,,,,,,,,,,,
Springbok,2021,739,68,928,79.7,,,,,,,,,,,,
Springbok,2022,569,69,911,62.5,,,,,,,,,,,,
Springbok,2023,754,78,974,77.4,,,,,,,,,,,,
Springbok,2024,804,88,1060,75.8,,,,,,,,,,,,
Steenbok,2003,5,5,,,,,,,,,,,,,,
Steenbok,2004,,,,,,,,,,,,,,,,
Steenbok,2005,1,1,,,,,,,,,,,,,,
Steenbok,2006,3,3,,,,,,,,,,,,,,
Steenbok,2007,5,5,,,,,,,,,,,,,,
Steenbok,2008,1,1,,,,,,,,,,,,,,
Steenbok,2009,4,3,204,2,,,,,,,,,,,,
Steenbok,2010,34,30,852,4,,,,,,,,,,,,
Steenbok,2011,63,51,1019,6.2,,,,,,,,,,,,
Steenbok,2012,80,67,1070,7.5,,,,,,,,,,,,
Steenbok,2013,85,69,900,9.4,,,,,,,,,,,,
Steenbok,2014,67,58,896,7.5,,,,,,,,,,,,
Steenbok,2015,83,72,896,9.3,,,,,,,,,,,,
Steenbok,2016,98,83,917,10.7,,,,,,,,,,,,
Steenbok,2017,39,35,858,4.5,,,,,,,,,,,,
Steenbok,2018,54,43,851,6.3,,,,,,,,,,,,
Steenbok,2019,23,22,864,2.7,,,,,,,,,,,,
Steenbok,2020,54,52,858,6.3,,,,,,,,,,,,
Steenbok,2021,22,19,928,2.4,,,,,,,,,,,,
Steenbok,2022,41,36,911,4.5,,,,,,,,,,,,
Steenbok,2023,46,40,974,4.7,,,,,,,,,,,,
Steenbok,2024,25,24,1060,2.4,,,,,,,,,,,,
Vervet Monkey,2003,,,,,,,,,,,,,,,,
Vervet Monkey,2004,,,,,,,,,,,,,,,,
Vervet Monkey,2005,,,,,,,,,,,,,,,,
Vervet Monkey,2006,,,,,,,,,,,,,,,,
Vervet Monkey,2007,,,,,,,,,,,,,,,,
Vervet Monkey,2008,,,,,,,,,,,,,,,,
Vervet Monkey,2009,,,204,,,,,,,,,,,,,
Vervet Monkey,2010,,,852,,,,,,,,,,,,,
Vervet Monkey,2011,,,1019,,,,,,,,,,,,,
Vervet Monkey,2012,,,1070,,,,,,,,,,,,,
Vervet Monkey,2013,,,900,,,,,,,,,,,,,
Vervet Monkey,2014,,,896,,,,,,,,,,,,,
Vervet Monkey,2015,,,896,,,,,,,,,,,,,
Vervet Monkey,2016,,,917,,,,,,,,,,,,,
Vervet Monkey,2017,,,858,,,,,,,,,,,,,
Vervet Monkey,2018,6,2,851,0.7,,,,,,,,,,,,
Vervet Monkey,2019,1,1,864,0.1,,,,,,,,,,,,
Vervet Monkey,2020,,,858,,,,,,,,,,,,,
Vervet Monkey,2021,,,928,,,,,,,,,,,,,
Vervet Monkey,2022,,,911,,,,,,,,,,,,,
Vervet Monkey,2023,,,974,,,,,,,,,,,,,
Vervet Monkey,2024,,,1060,,,,,,,,,,,,,
Warthog,2003,,,,,,,,,,,,,,,,
Warthog,2004,1,1,,,,,,,,,,,,,,
Warthog,2005,,,,,,,,,,,,,,,,
Warthog,2006,,,,,,,,,,,,,,,,
Warthog,2007,1,1,,,,,,,,,,,,,,
Warthog,2008,,,,,,,,,,,,,,,,
Warthog,2009,1,1,204,0.5,,,,,,,,,,,,
Warthog,2010,12,6,852,1.4,,,,,,,,,,,,
Warthog,2011,16,6,1019,1.6,,,,,,,,,,,,
Warthog,2012,12,5,1070,1.1,,,,,,,,,,,,
Warthog,2013,23,8,900,2.6,,,,,,,,,,,,
Warthog,2014,16,9,896,1.8,,,,,,,,,,,,
Warthog,2015,13,4,896,1.5,,,,,,,,,,,,
Warthog,2016,36,11,917,3.9,,,,,,,,,,,,
Warthog,2017,4,2,858,0.5,,,,,,,,,,,,
Warthog,2018,3,2,851,0.4,,,,,,,,,,,,
Warthog,2019,6,4,864,0.7,,,,,,,,,,,,
Warthog,2020,7,1,858,0.8,,,,,,,,,,,,
Warthog,2021,,,928,,,,,,,,,,,,,
Warthog,2022,5,1,911,0.5,,,,,,,,,,,,
Warthog,2023,,,974,,,,,,,,,,,,,
Warthog,2024,4,2,1060,0.4,,,,,,,,,,,,
Wildebeest,2003,,,,,,,,,,,,,,,,
Wildebeest,2004,,,,,,,,,,,,,,,,
Wildebeest,2005,,,,,,,,,,,,,,,,
Wildebeest,2006,,,,,,,,,,,,,,,,
Wildebeest,2007,,,,,,,,,,,,,,,,
Wildebeest,2008,,,,,,,,,,,,,,,,
Wildebeest,2009,,,204,,,,,,,,,,,,,
Wildebeest,2010,19,1,852,2.2,,,,,,,,,,,,
Wildebeest,2011,,,1019,,,,,,,,,,,,,
Wildebeest,2012,23,2,1070,2.2,,,,,,,,,,,,
Wildebeest,2013,82,9,900,9.1,,,,,,,,,,,,
Wildebeest,2014,102,4,896,11.4,,,,,,,,,,,,
Wildebeest,2015,97,6,896,10.8,,,,,,,,,,,,
Wildebeest,2016,144,10,917,15.7,,,,,,,,,,,,
Wildebeest,2017,202,10,858,23.5,,,,,,,,,,,,
Wildebeest,2018,170,14,851,20,,,,,,,,,,,,
Wildebeest,2019,283,9,864,32.7,,,,,,,,,,,,
Wildebeest,2020,44,2,858,5.1,,,,,,,,,,,,
Wildebeest,2021,66,7,928,7.1,,,,,,,,,,,,
Wildebeest,2022,83,2,911,9.1,,,,,,,,,,,,
Wildebeest,2023,91,6,974,9.3,,,,,,,,,,,,
Wildebeest,2024,351,9,1060,33.1,,,,,,,,,,,,
