ID_Location,Name,SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,,,,,,,,,
35,Sheya Shuushona,Springbok,2012,180,24,2390,,,,,,,,,,,
35,Sheya Shuushona,Springbok,2013,211,28,3604,1261,10304,,,,,,,,,
35,Sheya Shuushona,Springbok,2014,65,12,1140,304,4284,,,,,,,,,
35,Sheya Shuushona,Springbok,2015,78,18,2100,675,6510,,,,,,,,,
35,Sheya Shuushona,Springbok,2016,86,16,2050,793,5312,,,,,,,,,
35,Sheya Shuushona,Springbok,2017,68,11,1760,458,6784,,,,,,,,,
35,Sheya Shuushona,Springbok,2018,206,14,5008,1131,22186,,,,,,,,,
35,Sheya Shuushona,Springbok,2019,103,12,2625,798,8637,,,,,,,,,
35,Sheya Shuushona,Springbok,2020,76,14,1940,505,7480,,,,,,,,,
35,Sheya Shuushona,Springbok,2021,27,6,625,76,537,,,,,,,,,
35,Sheya Shuushona,Springbok,2022,37,12,1074,220,5240,,,,,,,,,
35,Sheya Shuushona,Springbok,2023,40,9,760,144,4000,,,,,,,,,
35,Sheya Shuushona,Springbok,2024,99,10,1352,284,6443,,,,,,,,,
35,Sheya Shuushona,Steenbok,2011,48,37,3525,,,,,,,,,,,
35,Sheya Shuushona,Steenbok,2012,47,37,2950,,,,,,,,,,,
35,Sheya Shuushona,Steenbok,2013,54,41,2677,1316,5447,,,,,,,,,
35,Sheya Shuushona,Steenbok,2014,33,29,1789,1132,2826,,,,,,,,,
35,Sheya Shuushona,Steenbok,2015,59,51,2750,,,,,,,,,,,
35,Sheya Shuushona,Steenbok,2016,71,60,3800,1706,8484,,,,,,,,,
35,Sheya Shuushona,Steenbok,2017,38,34,2780,1443,5358,,,,,,,,,
35,Sheya Shuushona,Steenbok,2018,44,34,3806,2036,7116,,,,,,,,,
35,Sheya Shuushona,Steenbok,2019,17,16,2204,1005,4835,,,,,,,,,
35,Sheya Shuushona,Steenbok,2020,43,41,3520,1475,8400,,,,,,,,,
35,Sheya Shuushona,Steenbok,2021,16,13,1268,629,2557,,,,,,,,,
35,Sheya Shuushona,Steenbok,2022,34,29,2221,1119,4409,,,,,,,,,
35,Sheya Shuushona,Steenbok,2023,34,29,2478,1126,5453,,,,,,,,,
35,Sheya Shuushona,Steenbok,2024,22,21,2334,817,6669,,,,,,,,,
32,Uukolonkadhi Ruacana,Duiker,2013,26,24,2204,732,6634,,,,,,,,,
32,Uukolonkadhi Ruacana,Duiker,2014,17,14,1453,364,5798,,,,,,,,,
32,Uukolonkadhi Ruacana,Duiker,2015,16,15,1340,215,8320,,,,,,,,,
32,Uukolonkadhi Ruacana,Duiker,2016,9,9,470,177,1239,,,,,,,,,
32,Uukolonkadhi Ruacana,Duiker,2021,1,1,149,13,1741,,,,,,,,,
32,Uukolonkadhi Ruacana,Steenbok,2012,20,17,1260,,,,,,,,,,,
32,Uukolonkadhi Ruacana,Steenbok,2013,17,15,1490,575,3864,,,,,,,,,
32,Uukolonkadhi Ruacana,Steenbok,2014,18,14,1325,302,5816,,,,,,,,,
32,Uukolonkadhi Ruacana,Steenbok,2015,8,7,660,110,4090,,,,,,,,,
32,Uukolonkadhi Ruacana,Steenbok,2016,12,10,750,167,3349,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2011,56,4,54,,,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2012,72,7,50,,,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2013,57,6,49,18,133,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2014,186,14,236,91,613,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2015,152,15,240,100,570,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2016,244,20,340,152,757,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2017,,,260,148,460,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2018,,,410,227,740,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2019,,,791,393,1594,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2020,,,170,75,390,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2021,135,10,192,79,470,,,,,,,,,
19,Uukwaluudhi,Burchell's Zebra,2024,26,5,43,11,157,,,,,,,,,
19,Uukwaluudhi,Eland,2011,84,8,49,,,,,,,,,,,
19,Uukwaluudhi,Eland,2012,66,7,40,,,,,,,,,,,
19,Uukwaluudhi,Eland,2013,140,10,138,48,394,,,,,,,,,
19,Uukwaluudhi,Eland,2014,28,4,18,3,112,,,,,,,,,
19,Uukwaluudhi,Eland,2015,102,10,110,50,260,,,,,,,,,
19,Uukwaluudhi,Eland,2016,73,9,80,41,168,,,,,,,,,
19,Uukwaluudhi,Eland,2017,72,6,90,22,340,,,,,,,,,
19,Uukwaluudhi,Eland,2018,21,3,34,4,286,,,,,,,,,
19,Uukwaluudhi,Eland,2019,6,2,10,2,66,,,,,,,,,
19,Uukwaluudhi,Eland,2020,15,2,25,5,140,,,,,,,,,
19,Uukwaluudhi,Eland,2021,5,1,14,2,84,,,,,,,,,
19,Uukwaluudhi,Eland,2022,37,6,82,30,228,,,,,,,,,
19,Uukwaluudhi,Eland,2023,6,2,46,12,181,,,,,,,,,
19,Uukwaluudhi,Eland,2024,5,2,19,5,75,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2011,66,21,135,,,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2012,212,37,200,,,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2013,232,37,259,166,404,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2014,160,35,274,139,540,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2015,218,42,200,120,340,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2016,188,40,330,208,523,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2017,244,40,400,260,624,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2018,156,37,225,118,427,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2019,526,61,923,543,1571,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2020,126,27,220,120,395,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2021,145,26,215,120,387,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2022,226,31,396,200,783,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2023,69,16,160,71,361,,,,,,,,,
19,Uukwaluudhi,Gemsbok,2024,46,17,90,42,190,,,,,,,,,
19,Uukwaluudhi,Giraffe,2011,23,7,34,,,,,,,,,,,
19,Uukwaluudhi,Giraffe,2013,63,8,78,39,157,,,,,,,,,
19,Uukwaluudhi,Giraffe,2014,41,10,26,9,74,,,,,,,,,
19,Uukwaluudhi,Giraffe,2015,46,12,40,12,120,,,,,,,,,
19,Uukwaluudhi,Giraffe,2017,30,4,31,7,142,,,,,,,,,
