Name,Species,Year,Animals Seen,Transect Length (km),Animals per 100km,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2011,20,73,27.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2012,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2015,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2016,3,62,4.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2017,10,86,11.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2019,2,96,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2024,5,114,4.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2001,83,73,113.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2002,217,68,317.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2003,251,68,367.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2004,108,67,161.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2005,158,67,235.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2006,117,70,168.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2007,37,60,61.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2008,52,60,86.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2009,80,60,133.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2010,82,67,122.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2011,40,73,54.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2012,90,62,145.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2015,24,62,38.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2016,15,62,24.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2017,48,86,55.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2018,18,86,20.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2019,27,96,28,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2020,56,96,58.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2021,47,96,48.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2022,46,88,52.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2023,3,94,3.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2024,2,114,1.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2001,54,73,74,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2002,47,68,68.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2003,15,68,22,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2004,63,67,94,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2005,31,67,46.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2006,24,70,34.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2007,18,60,30,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2008,35,60,58.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2009,11,60,18.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2010,1,67,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2011,12,73,16.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2012,9,62,14.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2015,29,62,46.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2016,33,62,53.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2017,26,86,30.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2018,13,86,15.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2019,23,96,23.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2020,32,96,33.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2021,13,96,13.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2023,17,94,18.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Giraffe,2024,3,114,2.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartebeest,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2001,190,73,260.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2002,148,68,216.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2003,53,68,77.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2004,83,67,123.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2005,90,67,134.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2006,147,70,211.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2007,63,60,105,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2008,77,60,128.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2009,105,60,175,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2010,64,67,95.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2011,65,73,89,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2012,27,62,43.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2015,129,62,208.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2016,130,62,209.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2017,52,86,60.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2018,80,86,93,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2019,27,96,28,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2020,111,96,115.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2021,66,96,68.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2022,11,88,12.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2023,13,94,13.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2024,12,114,10.5,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2017,4,86,4.7,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2018,12,86,14,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2019,5,96,5.2,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2020,3,96,3.1,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2021,4,96,4.2,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2022,13,88,14.9,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2023,25,94,26.6,,,,,,,,,,,,,,,,,,,,
Hobatere,"Impala, Black-faced",2024,1,114,0.9,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2002,9,68,13.2,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2003,3,68,4.4,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2005,5,67,7.5,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2006,4,70,5.7,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2007,5,60,8.3,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2008,3,60,5,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2009,3,60,5,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2010,8,67,11.9,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2012,3,62,4.8,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2015,8,62,12.9,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2016,7,62,11.3,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2017,4,86,4.7,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2018,2,86,2.3,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2019,6,96,6.2,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2020,2,96,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2021,2,96,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2023,3,94,3.2,,,,,,,,,,,,,,,,,,,,
Hobatere,"Jackal, Black-backed",2024,1,114,0.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Klipspringer,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2001,17,73,23.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2002,7,68,10.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2003,4,68,5.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2004,11,67,16.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2005,15,67,22.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2006,15,70,21.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2007,5,60,8.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2008,3,60,5,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2009,3,60,5,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2010,1,67,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2012,3,62,4.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2015,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2016,14,62,22.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2017,6,86,7,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2019,10,96,10.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2021,2,96,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2022,1,88,1.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2023,2,94,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Kudu,2024,4,114,3.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2001,3,73,4.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2002,2,68,2.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2003,4,68,5.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2005,1,67,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2006,4,70,5.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2016,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Ostrich,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Spotted Hyaena,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2001,130,73,178.1,,,,,,,,,,,,,,,,,,,,
