SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total Area (km2)
Springbok,2005,14067,1187,126570,101970,157110,59295
Springbok,2006,11746,944,82857,66930,102580,58646
Springbok,2007,12135,957,117750,95743,144820,63319
Springbok,2008,18729,712,119450,916364,156170,65212
Springbok,2009,12411,890,98944,79060,123830,65822
Springbok,2010,15601,939,104920,81047,135830,65822
Springbok,2011,12792,690,93250,71320,121940,66635
Springbok,2012,11366,1043,113880,93693,138430,65961
Springbok,2013,7586,920,93214,72700,119520,68702
Springbok,2014,7531,644,79364,59880,105190,69712
Springbok,2015,5876,654,59940,46840,76710,68832
Springbok,2016,10744,756,103980,79210,136490,69656
Springbok,2017,6823,495,70420,52920,93710,68330
Springbok,2018,6456,507,59750,44130,80900,69508
Springbok,2019,4384,578,61191,46447,80615,69130
Springbok,2020,5717,458,59420,44683,79018,69453
Springbok,2021,4697,276,62870,37765,104660,69859
Springbok,2022,2449,346,33422,23516,47501,68792
Springbok,2023,3540,101,59250,42717,82182,68453
Springbok,2024,4221,463,73530,6963,98188,68498
Steenbok,2001,55,47,4503,2623,7731,50485
Steenbok,2002,85,66,4537,3069,6706,50569
Steenbok,2003,118,102,8181,5483,12207,53044
Steenbok,2004,203,162,14493,9846,21335,55532
Steenbok,2005,154,119,11268,7619,16664,59295
Steenbok,2006,101,85,5751,3942,8388,58646
Steenbok,2007,247,205,18421,13736,24702,63319
Steenbok,2008,85,74,6303,4110,9668,65212
Steenbok,2009,117,92,8476,6090,11796,65822
Steenbok,2010,149,127,12469,9158,16978,65822
Steenbok,2011,87,75,6910,4450,10740,66635
Steenbok,2012,262,219,17664,13625,22900,65961
Steenbok,2013,326,275,19013,14403,25099,68702
Steenbok,2014,167,133,11858,8214,17120,69712
Steenbok,2015,218,186,13610,10270,18030,68832
Steenbok,2016,197,172,12830,9670,17010,69656
Steenbok,2017,110,89,6680,4730,9430,68330
Steenbok,2018,70,62,4240,2870,6270,69508
Steenbok,2019,128,107,8214,6025,11199,69130
Steenbok,2020,129,110,8901,60925,13005,69453
Steenbok,2021,66,54,3545,2249,5589,69859
Steenbok,2022,47,44,2202,1297,3738,68792
Steenbok,2023,156,47,10857,7001,16838,68453
Steenbok,2024,125,96,12484,6609,22383,68498
