Name,Species,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total_Area,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2018,1529,169,9990,6320,15810,28233,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2019,382,97,3710,2290,6020,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2020,596,87,3860,2060,7233,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2021,377,47,2604,1533,4421,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2022,658,103,4208,2287,7743,28457,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2023,188,15,2300,1276,4147,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2024,364,59,3218,1975,5243,29481,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2016,102,29,1410,640,3130,29080,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2017,35,12,560,270,1160,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2018,18,5,140,55,340,28233,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2019,41,12,730,360,1490,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2020,60,20,1948,829,4579,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2021,32,9,468,188,1161,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2022,20,8,364,163,815,28457,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2023,55,9,811,337,1948,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Kudu,2024,28,13,368,188,718,29481,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2016,508,126,5120,3570,7340,29080,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2017,435,116,3760,2670,5300,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2018,398,86,2650,1830,3840,28233,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2019,517,118,5070,3680,6980,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2020,337,82,3230,2243,4652,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2021,246,55,2233,1491,3344,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2022,338,93,2836,2002,4017,28457,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2023,275,41,3131,2137,4586,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Ostrich,2024,414,107,4493,3069,6577,29481,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2016,6051,425,56140,38360,82150,29080,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2017,5028,327,43360,30180,62300,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2018,4816,286,36950,25700,53140,28233,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2019,2786,366,39950,27900,57210,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2020,4146,297,40534,28681,57286,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2021,3495,164,45788,24030,87245,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2022,1450,225,19228,11674,31668,28457,,,,,,,,,,,,,,,,,
