Year,Cons,Gemsbok,Giraffe,Hartmann's Zebra,Kudu,Ostrich,Springbok,Steenbok,,,,,,,,,,,,,,,,,
2014,Okondjombo,942,52,1934,34,558,2027,,,,,,,,,,,,,,,,,,
2014,Omatendeka,82,107,51,,166,11525,193,,,,,,,,,,,,,,,,,
2014,Ombujokanguindi,,,,,95,799,304,,,,,,,,,,,,,,,,,
2014,Ongongo,,,,11,170,571,109,,,,,,,,,,,,,,,,,
2014,Orupembe,3870,30,1401,,759,4915,360,,,,,,,,,,,,,,,,,
2014,Orupupa,,,-1,-2,-6,-34,-44,,,,,,,,,,,,,,,,,
2014,Otjambangu,,,,,85,560,24,,,,,,,,,,,,,,,,,
2014,Otjikondavirongo,,,,,59,311,283,,,,,,,,,,,,,,,,,
2014,Otjimboyo,,,,,10,,183,,,,,,,,,,,,,,,,,
2014,Otjiu-West,,,,,27,128,,,,,,,,,,,,,,,,,,
2014,Otuzemba,,6,71,162,74,,467,,,,,,,,,,,,,,,,,
2014,Ozondundu,12,,97,188,29,207,733,,,,,,,,,,,,,,,,,
2014,Palmwag,3281,209,8113,326,855,20282,510,,,,,,,,,,,,,,,,,
2014,Puros,931,236,761,,1173,975,371,,,,,,,,,,,,,,,,,
2014,Sanitatas,2552,109,1841,,385,2344,,,,,,,,,,,,,,,,,,
2014,Sesfontein,96,121,309,,697,2320,113,,,,,,,,,,,,,,,,,
2014,Sorris Sorris,74,28,,,686,1965,899,,,,,,,,,,,,,,,,,
2014,Torra,1606,87,1201,462,118,4413,225,,,,,,,,,,,,,,,,,
2014,Tsiseb,602,,530,,1332,5116,837,,,,,,,,,,,,,,,,,
2015,!Khoro !Goreb,,,,,,,138,,,,,,,,,,,,,,,,,
2015,//Huab,35,,46,641,,39,1467,,,,,,,,,,,,,,,,,
2015,≠Gaingu,,,15,27,326,1305,1481,,,,,,,,,,,,,,,,,
2015,≠Khoadi-//Hôas,319,172,599,261,52,156,733,,,,,,,,,,,,,,,,,
2015,Anabeb,6,,28,74,55,1870,145,,,,,,,,,,,,,,,,,
2015,Doro !nawas,871,53,874,135,1063,11484,385,,,,,,,,,,,,,,,,,
2015,Ehi-Rovipuka,10,102,354,,223,1178,473,,,,,,,,,,,,,,,,,
2015,Etendeka,261,66,1202,44,13,683,75,,,,,,,,,,,,,,,,,
2015,Hobatere,155,115,791,12,,308,81,,,,,,,,,,,,,,,,,
2015,Marienfluss,3122,8,70,,1230,3185,,,,,,,,,,,,,,,,,,
2015,Ohungu,,,,,71,317,339,,,,,,,,,,,,,,,,,
2015,Okangundumba,,,,53,210,3485,656,,,,,,,,,,,,,,,,,
2015,Okondjombo,175,,784,,165,1305,146,,,,,,,,,,,,,,,,,
2015,Omatendeka,51,77,51,,40,1902,80,,,,,,,,,,,,,,,,,
2015,Ombujokanguindi,,,10,,459,2159,378,,,,,,,,,,,,,,,,,
2015,Ongongo,,,,,178,103,,,,,,,,,,,,,,,,,,
2015,Orupembe,3227,44,354,,2262,13088,223,,,,,,,,,,,,,,,,,
2015,Orupupa,,7,,80,69,412,250,,,,,,,,,,,,,,,,,
2015,Otjambangu,,,,32,64,549,48,,,,,,,,,,,,,,,,,
2015,Otjikondavirongo,,,,,62,1282,,,,,,,,,,,,,,,,,,
2015,Otjimboyo,,,,,25,22,224,,,,,,,,,,,,,,,,,
2015,Otjiu-West,,,,,14,179,28,,,,,,,,,,,,,,,,,
2015,Otuzemba,,,,123,14,,686,,,,,,,,,,,,,,,,,
2015,Ozondundu,7,,35,291,58,121,423,,,,,,,,,,,,,,,,,
2015,Palmwag,2145,135,4091,559,980,4367,720,,,,,,,,,,,,,,,,,
2015,Puros,364,438,50,,1146,1513,163,,,,,,,,,,,,,,,,,
2015,Sanitatas,280,38,246,,359,3933,65,,,,,,,,,,,,,,,,,
2015,Sesfontein,300,71,95,,351,2708,386,,,,,,,,,,,,,,,,,
2015,Sorris Sorris,305,32,,,240,125,319,,,,,,,,,,,,,,,,,
2015,Torra,1592,176,3656,270,246,7257,155,,,,,,,,,,,,,,,,,
2015,Tsiseb,289,,147,,850,5328,966,,,,,,,,,,,,,,,,,
2016,!Khoro !Goreb,,,,,,77,194,,,,,,,,,,,,,,,,,
2016,//Audi,,,,40,,,177,,,,,,,,,,,,,,,,,
2016,//Huab,,,,131,,319,668,,,,,,,,,,,,,,,,,
2016,≠Gaingu,,,323,,140,1124,1527,,,,,,,,,,,,,,,,,
2016,≠Khoadi-//Hôas,240,120,742,737,77,835,924,,,,,,,,,,,,,,,,,
2016,Anabeb,432,170,1824,193,14,12426,112,,,,,,,,,,,,,,,,,
2016,Doro !nawas,1759,44,1028,21,365,1997,637,,,,,,,,,,,,,,,,,
2016,Ehi-Rovipuka,114,285,780,276,71,3751,890,,,,,,,,,,,,,,,,,
2016,Etendeka,1320,184,903,242,,7016,26,,,,,,,,,,,,,,,,,
2016,Hobatere,128,131,704,132,8,352,209,,,,,,,,,,,,,,,,,
2016,Marienfluss,1078,,1141,,601,8529,,,,,,,,,,,,,,,,,,
2016,Ohungu,,,,,54,519,408,,,,,,,,,,,,,,,,,
2016,Okangundumba,,,,222,325,1252,554,,,,,,,,,,,,,,,,,
2016,Okondjombo,229,43,2086,,288,1301,151,,,,,,,,,,,,,,,,,
2016,Omatendeka,95,374,83,,155,4984,594,,,,,,,,,,,,,,,,,
2016,Ombujokanguindi,,,,,438,2097,390,,,,,,,,,,,,,,,,,
2016,Ongongo,,,,,39,83,,,,,,,,,,,,,,,,,,
2016,Orupembe,3962,,179,,1943,4136,230,,,,,,,,,,,,,,,,,
2016,Orupupa,,7,22,,222,242,468,,,,,,,,,,,,,,,,,
2016,Otjambangu,,,,,45,636,,,,,,,,,,,,,,,,,,
2016,Otjikondavirongo,,35,,,94,911,37,,,,,,,,,,,,,,,,,
2016,Otjimboyo,,,,,37,614,99,,,,,,,,,,,,,,,,,
2016,Otjiu-West,,,,,135,23,57,,,,,,,,,,,,,,,,,
2016,Otuzemba,,,,23,43,,331,,,,,,,,,,,,,,,,,
2016,Ozondundu,16,,42,211,95,192,345,,,,,,,,,,,,,,,,,
2016,Palmwag,5298,516,2651,501,474,17315,186,,,,,,,,,,,,,,,,,
2016,Puros,2066,247,785,,567,5526,84,,,,,,,,,,,,,,,,,
2016,Sanitatas,830,64,486,,366,808,,,,,,,,,,,,,,,,,,
2016,Sesfontein,421,6,399,,423,2593,63,,,,,,,,,,,,,,,,,
2016,Sorris Sorris,411,53,799,,435,1197,643,,,,,,,,,,,,,,,,,
2016,Torra,1349,51,111,120,639,2548,478,,,,,,,,,,,,,,,,,
2016,Tsiseb,659,,437,,545,4851,249,,,,,,,,,,,,,,,,,
2017,!Khoro !Goreb,,,,,,850,,,,,,,,,,,,,,,,,,
2017,//Audi,,,,36,,23,,,,,,,,,,,,,,,,,,
2017,//Huab,,,242,195,,46,219,,,,,,,,,,,,,,,,,
2017,≠Gaingu,24,,,,140,5690,470,,,,,,,,,,,,,,,,,
2017,≠Khoadi-//Hôas,232,152,75,101,37,1306,579,,,,,,,,,,,,,,,,,
2017,Anabeb,78,75,1464,163,39,5069,,,,,,,,,,,,,,,,,,
2017,Doro !nawas,81,,209,,401,2045,109,,,,,,,,,,,,,,,,,
2017,Ehi-Rovipuka,,275,239,376,33,6702,438,,,,,,,,,,,,,,,,,
2017,Etendeka,104,56,517,133,,2388,,,,,,,,,,,,,,,,,,
2017,Hobatere,177,75,198,72,,291,30,,,,,,,,,,,,,,,,,
2017,Marienfluss,1209,,1434,,863,3574,233,,,,,,,,,,,,,,,,,
2017,Ohungu,,,,47,94,357,230,,,,,,,,,,,,,,,,,
2017,Okangundumba,,,,,126,1159,242,,,,,,,,,,,,,,,,,
2017,Okondjombo,654,93,1915,,373,1931,,,,,,,,,,,,,,,,,,
2017,Omatendeka,16,218,220,,118,13427,84,,,,,,,,,,,,,,,,,
2017,Ombujokanguindi,,,,21,108,2102,466,,,,,,,,,,,,,,,,,
2017,Ongongo,,,,,83,114,47,,,,,,,,,,,,,,,,,
2017,Orupembe,1855,131,1534,,852,16402,902,,,,,,,,,,,,,,,,,
2017,Orupupa,,,,19,4,287,70,,,,,,,,,,,,,,,,,
2017,Otjambangu,,,,,43,714,,,,,,,,,,,,,,,,,,
2017,Otjikondavirongo,,21,65,,,19,73,,,,,,,,,,,,,,,,,
2017,Otjimboyo,,,,,39,354,33,,,,,,,,,,,,,,,,,
2017,Otjiu-West,,,,,174,347,28,,,,,,,,,,,,,,,,,
2017,Otuzemba,,,35,44,24,,215,,,,,,,,,,,,,,,,,
2017,Ozondundu,,,51,32,52,132,390,,,,,,,,,,,,,,,,,
2017,Palmwag,706,112,930,50,334,2333,,,,,,,,,,,,,,,,,,
2017,Puros,206,128,1378,,270,3443,,,,,,,,,,,,,,,,,,
2017,Sanitatas,353,13,532,,166,1209,264,,,,,,,,,,,,,,,,,
2017,Sesfontein,1066,156,734,,587,8991,49,,,,,,,,,,,,,,,,,
2017,Sorris Sorris,136,105,244,,348,1590,904,,,,,,,,,,,,,,,,,
2017,Torra,189,136,222,254,132,5634,418,,,,,,,,,,,,,,,,,
2017,Tsiseb,31,,582,,636,7041,,,,,,,,,,,,,,,,,,
2018,!Khoro !Goreb,,,,,,,109,,,,,,,,,,,,,,,,,
2018,//Audi,,,183,48,,,,,,,,,,,,,,,,,,,,
2018,//Huab,,,132,73,7,63,296,,,,,,,,,,,,,,,,,
2018,≠Gaingu,,,537,,107,825,91,,,,,,,,,,,,,,,,,
2018,≠Khoadi-//Hôas,186,196,280,103,48,1862,478,,,,,,,,,,,,,,,,,
2018,Anabeb,52,124,1764,,53,4363,,,,,,,,,,,,,,,,,,
2018,Doro !nawas,159,16,686,66,459,1893,,,,,,,,,,,,,,,,,,
2018,Ehi-Rovipuka,,285,75,61,39,1055,106,,,,,,,,,,,,,,,,,
2018,Etendeka,191,192,367,77,,3240,25,,,,,,,,,,,,,,,,,
2018,Hobatere,83,38,356,,,520,29,,,,,,,,,,,,,,,,,
2018,Marienfluss,1814,30,1504,,298,1802,,,,,,,,,,,,,,,,,,
2018,Ohungu,,,,,33,65,111,,,,,,,,,,,,,,,,,
2018,Okangundumba,,,,,147,1337,467,,,,,,,,,,,,,,,,,
2018,Okondjombo,,43,1366,,347,7951,72,,,,,,,,,,,,,,,,,
2018,Omatendeka,,254,772,,119,6892,41,,,,,,,,,,,,,,,,,
2018,Ombujokanguindi,,,,,67,879,449,,,,,,,,,,,,,,,,,
2018,Ongongo,,,,,47,145,90,,,,,,,,,,,,,,,,,
2018,Orupembe,3841,98,1254,,1170,25071,,,,,,,,,,,,,,,,,,
2018,Orupupa,,3,,,46,105,111,,,,,,,,,,,,,,,,,
2018,Otjambangu,,,,,44,1129,16,,,,,,,,,,,,,,,,,
2018,Otjikondavirongo,,49,76,40,47,594,,,,,,,,,,,,,,,,,,
2018,Otjimboyo,,,,,61,654,94,,,,,,,,,,,,,,,,,
2018,Otjiu-West,,,,,52,309,,,,,,,,,,,,,,,,,,
2018,Otuzemba,,31,,45,16,,104,,,,,,,,,,,,,,,,,
2018,Ozondundu,,,94,,34,277,76,,,,,,,,,,,,,,,,,
2018,Palmwag,1151,165,1547,34,208,6968,59,,,,,,,,,,,,,,,,,
2018,Puros,77,64,2073,,141,5171,,,,,,,,,,,,,,,,,,
2018,Sanitatas,825,70,4813,127,300,17600,,,,,,,,,,,,,,,,,,
2018,Sesfontein,707,42,622,,281,2727,,,,,,,,,,,,,,,,,,
2018,Sorris Sorris,28,,68,50,78,487,435,,,,,,,,,,,,,,,,,
2018,Torra,65,136,259,,82,6432,,,,,,,,,,,,,,,,,,
2018,Tsiseb,,24,313,,1429,2257,,,,,,,,,,,,,,,,,,
2019,//Audi,,,,25,,146,231,,,,,,,,,,,,,,,,,
2019,//Huab,,,111,82,,145,436,,,,,,,,,,,,,,,,,
2019,≠Gaingu,,,,,109,5967,205,,,,,,,,,,,,,,,,,
2019,≠Khoadi-//Hôas,227,74,892,212,97,1385,510,,,,,,,,,,,,,,,,,
2019,Anabeb,,66,287,54,48,2761,,,,,,,,,,,,,,,,,,
2019,Doro !nawas,1032,61,633,52,340,1664,415,,,,,,,,,,,,,,,,,
2019,Ehi-Rovipuka,,572,447,126,87,1407,58,,,,,,,,,,,,,,,,,
2019,Etendeka,53,104,231,6,,1119,19,,,,,,,,,,,,,,,,,
2019,Hobatere,113,59,121,88,,219,,,,,,,,,,,,,,,,,,
2019,Marienfluss,1101,24,286,27,829,2884,86,,,,,,,,,,,,,,,,,
2019,Ohungu,,,,,50,706,325,,,,,,,,,,,,,,,,,
2019,Okangundumba,,,,,78,859,256,,,,,,,,,,,,,,,,,
2019,Okondjombo,59,51,467,,97,14469,238,,,,,,,,,,,,,,,,,
2019,Omatendeka,7,500,,,174,1271,221,,,,,,,,,,,,,,,,,
2019,Ombujokanguindi,,,,22,472,2140,623,,,,,,,,,,,,,,,,,
2019,Ongongo,,,,,96,50,30,,,,,,,,,,,,,,,,,
2019,Orupembe,3638,68,1369,156,1531,6858,1122,,,,,,,,,,,,,,,,,
2019,Orupupa,,9,,20,126,316,573,,,,,,,,,,,,,,,,,
2019,Otjambangu,,,,,67,646,53,,,,,,,,,,,,,,,,,
2019,Otjikondavirongo,,,,,12,314,37,,,,,,,,,,,,,,,,,
2019,Otjimboyo,,,,,109,1335,113,,,,,,,,,,,,,,,,,
2019,Otjiu-West,,,,,162,8,,,,,,,,,,,,,,,,,,
2019,Otuzemba,,,,56,10,,179,,,,,,,,,,,,,,,,,
2019,Ozondundu,,,31,212,52,2138,97,,,,,,,,,,,,,,,,,
2019,Palmwag,770,150,314,62,758,4549,460,,,,,,,,,,,,,,,,,
2019,Puros,858,165,737,,677,1093,,,,,,,,,,,,,,,,,,
2019,Sanitatas,880,159,73,95,220,809,305,,,,,,,,,,,,,,,,,
2019,Sesfontein,403,79,718,,591,4295,205,,,,,,,,,,,,,,,,,
2019,Sorris Sorris,165,,145,,138,476,,,,,,,,,,,,,,,,,,
2019,Torra,235,192,785,257,1238,3576,470,,,,,,,,,,,,,,,,,
2019,Tsiseb,,,458,36,489,1468,461,,,,,,,,,,,,,,,,,
2020,!Khoro !Goreb,,,,,,37,143,,,,,,,,,,,,,,,,,
2020,//Huab,,4,49,20,,697,184,,,,,,,,,,,,,,,,,
2020,≠Gaingu,,,86,,86,1157,102,,,,,,,,,,,,,,,,,
2020,≠Khoadi-//Hôas,6,193,100,,57,249,448,,,,,,,,,,,,,,,,,
2020,Anabeb,,69,823,31,16,2903,,,,,,,,,,,,,,,,,,
2020,Doro !nawas,58,81,50,,27,569,94,,,,,,,,,,,,,,,,,
2020,Ehi-Rovipuka,8,276,39,154,,2381,363,,,,,,,,,,,,,,,,,
2020,Etendeka,141,69,103,42,,616,100,,,,,,,,,,,,,,,,,
2020,Hobatere,203,82,347,,,501,,,,,,,,,,,,,,,,,,
2020,Marienfluss,188,,76,,252,1570,,,,,,,,,,,,,,,,,,
2020,Ohungu,,,,232,39,18,274,,,,,,,,,,,,,,,,,
2020,Okangundumba,,,,,151,2499,404,,,,,,,,,,,,,,,,,
2020,Okondjombo,,202,282,36,175,3823,84,,,,,,,,,,,,,,,,,
2020,Omatendeka,35,96,,,78,2069,,,,,,,,,,,,,,,,,,
2020,Ombujokanguindi,,,,,275,6505,1240,,,,,,,,,,,,,,,,,
2020,Ongongo,,,,,71,344,,,,,,,,,,,,,,,,,,
2020,Orupembe,1512,57,1303,,1393,34200,526,,,,,,,,,,,,,,,,,
2020,Orupupa,,18,,86,24,94,336,,,,,,,,,,,,,,,,,
2020,Otjambangu,,,2,,21,1028,56,,,,,,,,,,,,,,,,,
2020,Otjikondavirongo,,47,58,,66,551,,,,,,,,,,,,,,,,,,
2020,Otjimboyo,,,,,,11,40,,,,,,,,,,,,,,,,,
2020,Otjiu-West,,,,,108,195,,,,,,,,,,,,,,,,,,
2020,Otuzemba,,,,745,9,,944,,,,,,,,,,,,,,,,,
2020,Ozondundu,,,65,324,15,516,358,,,,,,,,,,,,,,,,,
2020,Palmwag,611,90,709,59,397,15394,832,,,,,,,,,,,,,,,,,
2020,Puros,843,225,203,37,657,10590,88,,,,,,,,,,,,,,,,,
2020,Sanitatas,462,42,1583,,68,2170,,,,,,,,,,,,,,,,,,
2020,Sesfontein,278,79,35,23,302,2116,541,,,,,,,,,,,,,,,,,
2020,Sorris Sorris,,28,12,,119,1155,107,,,,,,,,,,,,,,,,,
2020,Torra,84,139,235,210,915,3159,372,,,,,,,,,,,,,,,,,
2020,Tsiseb,,,90,,34,1871,243,,,,,,,,,,,,,,,,,
2021,!Khoro !Goreb,,,,,,,315,,,,,,,,,,,,,,,,,
2021,//Huab,,,58,175,21,204,73,,,,,,,,,,,,,,,,,
2021,≠Gaingu,,,,,,1349,80,,,,,,,,,,,,,,,,,
2021,≠Khoadi-//Hôas,,131,272,10,21,460,176,,,,,,,,,,,,,,,,,
2021,Anabeb,,57,51,9,,448,58,,,,,,,,,,,,,,,,,
2021,Doro !nawas,59,57,86,,355,113,148,,,,,,,,,,,,,,,,,
2021,Ehi-Rovipuka,,89,139,203,37,,665,,,,,,,,,,,,,,,,,
2021,Etendeka,102,86,350,5,15,371,32,,,,,,,,,,,,,,,,,
2021,Hobatere,175,34,224,14,,553,47,,,,,,,,,,,,,,,,,
2021,Marienfluss,,,73,21,764,5664,,,,,,,,,,,,,,,,,,
2021,Ohungu,,,,,21,97,108,,,,,,,,,,,,,,,,,
2021,Okangundumba,,,,,163,2501,212,,,,,,,,,,,,,,,,,
2021,Okondjombo,,44,1837,,279,7856,132,,,,,,,,,,,,,,,,,
2021,Omatendeka,,156,134,21,120,3696,74,,,,,,,,,,,,,,,,,
2021,Ombujokanguindi,,,,,188,2141,287,,,,,,,,,,,,,,,,,
2021,Ongongo,,,,,,64,50,,,,,,,,,,,,,,,,,
2021,Orupembe,380,170,707,,518,2932,310,,,,,,,,,,,,,,,,,
2021,Orupupa,,3,,98,11,196,106,,,,,,,,,,,,,,,,,
2021,Otjambangu,,,,,20,298,15,,,,,,,,,,,,,,,,,
2021,Otjikondavirongo,,21,63,,,469,31,,,,,,,,,,,,,,,,,
2021,Otjimboyo,,,,,61,72,,,,,,,,,,,,,,,,,,
2021,Otjiu-West,,,,,93,7,,,,,,,,,,,,,,,,,,
2021,Otuzemba,,33,44,,10,,99,,,,,,,,,,,,,,,,,
2021,Ozondundu,20,,65,,24,,81,,,,,,,,,,,,,,,,,
2021,Palmwag,209,154,584,,56,4646,,,,,,,,,,,,,,,,,,
2021,Puros,11,180,90,,225,1577,,,,,,,,,,,,,,,,,,
2021,Sanitatas,131,56,74,,207,1049,,,,,,,,,,,,,,,,,,
2021,Sesfontein,89,121,161,,180,2921,,,,,,,,,,,,,,,,,,
2021,Sorris Sorris,54,46,,,81,86,,,,,,,,,,,,,,,,,,
2021,Torra,8,91,114,56,10,5399,49,,,,,,,,,,,,,,,,,
2021,Tsiseb,153,84,,,423,1122,96,,,,,,,,,,,,,,,,,
2022,!Khoro !Goreb,,,,,,46,,,,,,,,,,,,,,,,,,
2022,//Huab,,,10,,15,21,136,,,,,,,,,,,,,,,,,
2022,≠Gaingu,,,,,16,3000,73,,,,,,,,,,,,,,,,,
2022,≠Khoadi-//Hôas,,117,85,175,13,,,,,,,,,,,,,,,,,,,
2022,Anabeb,,26,1180,,22,1796,,,,,,,,,,,,,,,,,,
2022,Doro !nawas,,125,,,679,2570,125,,,,,,,,,,,,,,,,,
2022,Ehi-Rovipuka,,173,85,105,,100,84,,,,,,,,,,,,,,,,,
2022,Etendeka,68,27,145,18,,415,,,,,,,,,,,,,,,,,,
2022,Hobatere,156,,36,12,,400,,,,,,,,,,,,,,,,,,
2022,Marienfluss,170,,,,361,5739,,,,,,,,,,,,,,,,,,
2022,Ohungu,,,,,19,,259,,,,,,,,,,,,,,,,,
2022,Okangundumba,,11,,,248,612,88,,,,,,,,,,,,,,,,,
2022,Okondjombo,,24,286,,78,514,,,,,,,,,,,,,,,,,,
2022,Omatendeka,,141,177,16,217,502,32,,,,,,,,,,,,,,,,,
2022,Ombujokanguindi,,,,,92,600,220,,,,,,,,,,,,,,,,,
2022,Ongongo,,,,,92,157,55,,,,,,,,,,,,,,,,,
2022,Orupembe,1769,29,1618,,1067,3299,,,,,,,,,,,,,,,,,,
2022,Orupupa,,,,22,23,537,86,,,,,,,,,,,,,,,,,
2022,Otjambangu,,,,,77,380,,,,,,,,,,,,,,,,,,
2022,Otjikondavirongo,,109,17,,19,1377,,,,,,,,,,,,,,,,,,
2022,Otjimboyo,,,,53,45,110,53,,,,,,,,,,,,,,,,,
2022,Otjiu-West,,,,,17,23,,,,,,,,,,,,,,,,,,
2022,Otuzemba,,,,87,,,175,,,,,,,,,,,,,,,,,
2022,Ozondundu,,,27,123,33,,31,,,,,,,,,,,,,,,,,
2022,Palmwag,204,182,60,,272,4649,312,,,,,,,,,,,,,,,,,
2022,Puros,152,165,473,,356,1585,,,,,,,,,,,,,,,,,,
2022,Sanitatas,41,34,281,,237,432,,,,,,,,,,,,,,,,,,
2022,Sesfontein,22,48,91,,353,1256,,,,,,,,,,,,,,,,,,
2022,Sorris Sorris,,,,72,226,938,144,,,,,,,,,,,,,,,,,
2022,Torra,,52,211,,296,325,,,,,,,,,,,,,,,,,,
2022,Tsiseb,196,,,,1511,5271,,,,,,,,,,,,,,,,,,
2023,!Khoro !Goreb,,,,,,,429,,,,,,,,,,,,,,,,,
2023,//Audi,,,,19,,,77,,,,,,,,,,,,,,,,,
2023,//Huab,,,230,155,118,238,1702,,,,,,,,,,,,,,,,,
2023,≠Gaingu,,,,,,2201,,,,,,,,,,,,,,,,,,
2023,≠Khoadi-//Hôas,,51,167,,14,1052,302,,,,,,,,,,,,,,,,,
2023,Anabeb,,16,280,,62,3483,,,,,,,,,,,,,,,,,,
2023,Doro !nawas,57,48,,,268,146,,,,,,,,,,,,,,,,,,
2023,Ehi-Rovipuka,,118,650,161,,1591,1128,,,,,,,,,,,,,,,,,
2023,Etendeka,31,4,253,12,,151,,,,,,,,,,,,,,,,,,
2023,Hobatere,14,45,73,17,,507,68,,,,,,,,,,,,,,,,,
2023,Marienfluss,99,,,,711,2808,,,,,,,,,,,,,,,,,,
2023,Ohungu,,,,,10,34,917,,,,,,,,,,,,,,,,,
2023,Okangundumba,,12,,,154,209,296,,,,,,,,,,,,,,,,,
2023,Okondjombo,,117,282,,184,2170,95,,,,,,,,,,,,,,,,,
2023,Omatendeka,,242,250,98,234,4566,174,,,,,,,,,,,,,,,,,
2023,Ombujokanguindi,,,,,358,2841,864,,,,,,,,,,,,,,,,,
2023,Ongongo,,,,,24,19,27,,,,,,,,,,,,,,,,,
2023,Orupembe,646,78,24,,225,3144,,,,,,,,,,,,,,,,,,
2023,Orupupa,,6,,,65,749,730,,,,,,,,,,,,,,,,,
2023,Otjambangu,,,,30,16,1240,,,,,,,,,,,,,,,,,,
2023,Otjikondavirongo,,36,23,,18,578,,,,,,,,,,,,,,,,,,
2023,Otjimboyo,,,,82,198,2297,85,,,,,,,,,,,,,,,,,
2023,Otjiu-West,,,,,105,91,,,,,,,,,,,,,,,,,,
2023,Otuzemba,,6,,223,74,,285,,,,,,,,,,,,,,,,,
2023,Ozondundu,27,,230,239,,1195,99,,,,,,,,,,,,,,,,,
2023,Palmwag,80,52,,,217,1796,250,,,,,,,,,,,,,,,,,
2023,Puros,212,294,,24,380,2515,98,,,,,,,,,,,,,,,,,
2023,Sanitatas,218,124,148,,35,1569,89,,,,,,,,,,,,,,,,,
2023,Sesfontein,254,125,,,41,3789,931,,,,,,,,,,,,,,,,,
2023,Sorris Sorris,,,,,263,1012,92,,,,,,,,,,,,,,,,,
2023,Torra,,103,538,16,543,4198,662,,,,,,,,,,,,,,,,,
2023,Tsiseb,,,,,616,5583,128,,,,,,,,,,,,,,,,,
2024,!Khoro !Goreb,,,,,,,253,,,,,,,,,,,,,,,,,
2024,//Huab,,,176,128,,677,2039,,,,,,,,,,,,,,,,,
2024,≠Gaingu,,,,,,4727,,,,,,,,,,,,,,,,,,
2024,≠Khoadi-//Hôas,,70,220,,,389,413,,,,,,,,,,,,,,,,,
2024,Anabeb,8,115,339,20,168,4192,,,,,,,,,,,,,,,,,,
2024,Doro !nawas,21,18,,34,283,1249,154,,,,,,,,,,,,,,,,,
2024,Ehi-Rovipuka,,136,670,21,90,2515,925,,,,,,,,,,,,,,,,,
2024,Etanga,,,,,54,227,,,,,,,,,,,,,,,,,,
2024,Etendeka,90,31,352,4,,553,,,,,,,,,,,,,,,,,,
2024,Hobatere,11,7,40,17,,165,39,,,,,,,,,,,,,,,,,
2024,Marienfluss,71,,,,314,4474,,,,,,,,,,,,,,,,,,
2024,Ohungu,,,,,63,192,482,,,,,,,,,,,,,,,,,
2024,Okangundumba,,6,,56,88,453,1719,,,,,,,,,,,,,,,,,
2024,Okondjombo,56,83,746,57,124,1797,105,,,,,,,,,,,,,,,,,
2024,Omatendeka,37,82,119,23,283,9807,413,,,,,,,,,,,,,,,,,
2024,Ombujokanguindi,,,,,560,3467,755,,,,,,,,,,,,,,,,,
2024,Ongongo,,,16,12,145,274,,,,,,,,,,,,,,,,,,
2024,Orupembe,468,253,688,,1978,15967,389,,,,,,,,,,,,,,,,,
2024,Orupupa,,10,,10,27,21,333,,,,,,,,,,,,,,,,,
2024,Otjambangu,10,,7,3,19,737,25,,,,,,,,,,,,,,,,,
2024,Otjikondavirongo,,24,57,,46,147,47,,,,,,,,,,,,,,,,,
2024,Otjimboyo,,,,,,343,63,,,,,,,,,,,,,,,,,
2024,Otjiu-West,,,,6,65,140,,,,,,,,,,,,,,,,,,
2024,Otuzemba,,6,34,,,,587,,,,,,,,,,,,,,,,,
2024,Ozondundu,,,41,15,,,135,,,,,,,,,,,,,,,,,
2024,Palmwag,338,121,168,,179,1419,778,,,,,,,,,,,,,,,,,
2024,Puros,39,433,74,,477,3113,,,,,,,,,,,,,,,,,,
2024,Sanitatas,39,97,165,11,393,1569,96,,,,,,,,,,,,,,,,,
2024,Sesfontein,361,67,81,,119,1890,507,,,,,,,,,,,,,,,,,
2024,Sorris Sorris,85,36,,,663,4719,,,,,,,,,,,,,,,,,,
2024,Torra,51,106,640,82,275,4732,282,,,,,,,,,,,,,,,,,
2024,Tsiseb,,,,27,53,1164,484,,,,,,,,,,,,,,,,,
