Year,Cons,Gemsbok,Giraffe,Hartmann's Zebra,Kudu,Ostrich,Springbok,Steenbok,,,,,,,,,,,,,,,,,
2004,Orupupa,0,,,,-10,-91,-84,,,,,,,,,,,,,,,,,
2004,Otjambangu,67,,,42,30,208,145,,,,,,,,,,,,,,,,,
2004,Otjimboyo,,,,,,772,375,,,,,,,,,,,,,,,,,
2004,Otuzemba,,,,,0,,-71,,,,,,,,,,,,,,,,,
2004,Ozondundu,,,,140,,117,176,,,,,,,,,,,,,,,,,
2004,Palmwag,5287,152,2476,183,433,14342,351,,,,,,,,,,,,,,,,,
2004,Puros,2626,156,202,,1375,2041,,,,,,,,,,,,,,,,,,
2004,Sanitatas,1335,13,442,,100,2226,806,,,,,,,,,,,,,,,,,
2004,Sesfontein,4082,130,163,,220,2987,112,,,,,,,,,,,,,,,,,
2004,Sorris Sorris,15,18,,,641,3292,1190,,,,,,,,,,,,,,,,,
2004,Torra,2171,67,1458,524,863,10106,953,,,,,,,,,,,,,,,,,
2004,Tsiseb,1074,,525,327,1655,24573,1327,,,,,,,,,,,,,,,,,
2005,//Huab,220,,40,502,71,1298,205,,,,,,,,,,,,,,,,,
2005,≠Gaingu,,,,,,34557,3686,,,,,,,,,,,,,,,,,
2005,≠Khoadi-//Hôas,1011,67,209,804,81,1003,510,,,,,,,,,,,,,,,,,
2005,Anabeb,1427,35,1634,180,603,16839,,,,,,,,,,,,,,,,,,
2005,Doro !nawas,1997,49,347,252,837,11036,603,,,,,,,,,,,,,,,,,
2005,Ehi-Rovipuka,538,31,50,110,60,3724,1226,,,,,,,,,,,,,,,,,
2005,Etendeka,1027,198,562,314,5,3062,40,,,,,,,,,,,,,,,,,
2005,Hobatere,1005,114,395,106,6,1601,138,,,,,,,,,,,,,,,,,
2005,Marienfluss,4448,,188,,439,4066,,,,,,,,,,,,,,,,,,
2005,Okangundumba,,,,107,72,2907,386,,,,,,,,,,,,,,,,,
2005,Okondjombo,123,,170,,341,6098,589,,,,,,,,,,,,,,,,,
2005,Omatendeka,262,,69,,224,10521,51,,,,,,,,,,,,,,,,,
2005,Orupembe,1638,110,,53,535,6627,171,,,,,,,,,,,,,,,,,
2005,Orupupa,,,,-2,-10,-177,-49,,,,,,,,,,,,,,,,,
2005,Otjambangu,,,,13,47,321,54,,,,,,,,,,,,,,,,,
2005,Otjimboyo,,,,,26,886,309,,,,,,,,,,,,,,,,,
2005,Otuzemba,,,,,0,,-18,,,,,,,,,,,,,,,,,
2005,Ozondundu,,,,34,18,491,294,,,,,,,,,,,,,,,,,
2005,Palmwag,3841,143,3968,176,885,14406,786,,,,,,,,,,,,,,,,,
2005,Puros,4105,81,606,,314,14255,,,,,,,,,,,,,,,,,,
2005,Sanitatas,2518,27,127,,192,9194,,,,,,,,,,,,,,,,,,
2005,Sesfontein,2684,81,269,,610,4718,337,,,,,,,,,,,,,,,,,
2005,Sorris Sorris,705,9,,17,949,5427,1187,,,,,,,,,,,,,,,,,
2005,Torra,4277,43,1283,649,829,22558,470,,,,,,,,,,,,,,,,,
2005,Tsiseb,21,,388,,295,18393,600,,,,,,,,,,,,,,,,,
2006,//Huab,15,,,130,17,172,315,,,,,,,,,,,,,,,,,
2006,≠Gaingu,,,,,,8552,349,,,,,,,,,,,,,,,,,
2006,≠Khoadi-//Hôas,495,89,157,948,115,1708,488,,,,,,,,,,,,,,,,,
2006,Anabeb,360,58,1137,125,192,2258,32,,,,,,,,,,,,,,,,,
2006,Doro !nawas,563,115,546,70,1010,9968,,,,,,,,,,,,,,,,,,
2006,Ehi-Rovipuka,603,214,142,21,108,508,51,,,,,,,,,,,,,,,,,
2006,Etendeka,1445,230,1838,271,,4511,,,,,,,,,,,,,,,,,,
2006,Hobatere,706,85,808,103,19,397,34,,,,,,,,,,,,,,,,,
2006,Marienfluss,2147,,50,,637,3054,,,,,,,,,,,,,,,,,,
2006,Okangundumba,,,66,82,129,3767,507,,,,,,,,,,,,,,,,,
2006,Okondjombo,1628,,,,587,1629,,,,,,,,,,,,,,,,,,
2006,Omatendeka,298,47,377,49,53,4393,201,,,,,,,,,,,,,,,,,
2006,Orupembe,5854,14,42,,725,10368,633,,,,,,,,,,,,,,,,,
2006,Orupupa,,,,,-6,-21,-9,,,,,,,,,,,,,,,,,
2006,Otjambangu,,,,16,20,859,92,,,,,,,,,,,,,,,,,
2006,Otjimboyo,,,,4,39,1141,17,,,,,,,,,,,,,,,,,
2006,Otuzemba,,,,,,,-11,,,,,,,,,,,,,,,,,
2006,Ozondundu,,,,17,64,177,162,,,,,,,,,,,,,,,,,
2006,Palmwag,5444,177,5912,626,287,31123,484,,,,,,,,,,,,,,,,,
2006,Puros,4837,239,1644,15,1429,12047,141,,,,,,,,,,,,,,,,,
2006,Sanitatas,1057,52,973,,53,689,245,,,,,,,,,,,,,,,,,
2006,Sesfontein,3271,132,185,,428,8949,128,,,,,,,,,,,,,,,,,
2006,Sorris Sorris,,,,17,349,16614,315,,,,,,,,,,,,,,,,,
2006,Torra,1877,82,1703,334,213,6276,181,,,,,,,,,,,,,,,,,
2006,Tsiseb,222,,573,,408,20739,711,,,,,,,,,,,,,,,,,
2007,//Huab,331,,146,474,11,3003,2102,,,,,,,,,,,,,,,,,
2007,≠Gaingu,31,,,117,,20310,2124,,,,,,,,,,,,,,,,,
2007,≠Khoadi-//Hôas,877,194,824,1498,218,11781,1667,,,,,,,,,,,,,,,,,
2007,Anabeb,726,17,1399,116,115,7435,202,,,,,,,,,,,,,,,,,
2007,Doro !nawas,2100,7,356,72,313,9287,724,,,,,,,,,,,,,,,,,
2007,Ehi-Rovipuka,551,26,257,111,373,16117,1177,,,,,,,,,,,,,,,,,
2007,Etendeka,1232,164,797,1035,,4965,43,,,,,,,,,,,,,,,,,
2007,Hobatere,339,74,300,45,,613,198,,,,,,,,,,,,,,,,,
2007,Marienfluss,19496,26,59,,731,15363,,,,,,,,,,,,,,,,,,
2007,Okangundumba,,,,149,188,4826,152,,,,,,,,,,,,,,,,,
2007,Okondjombo,1061,,170,,1559,9644,,,,,,,,,,,,,,,,,,
2007,Omatendeka,968,92,231,18,368,30454,96,,,,,,,,,,,,,,,,,
2007,Orupembe,4677,,59,,519,10940,511,,,,,,,,,,,,,,,,,
2007,Orupupa,,,,,-14,-144,-55,,,,,,,,,,,,,,,,,
2007,Otjambangu,54,,,31,25,707,58,,,,,,,,,,,,,,,,,
2007,Otjimboyo,,,,12,6,466,110,,,,,,,,,,,,,,,,,
2007,Otuzemba,,,,,-1,,-20,,,,,,,,,,,,,,,,,
2007,Ozondundu,64,,,,73,600,343,,,,,,,,,,,,,,,,,
2007,Palmwag,4770,207,3030,908,851,15586,662,,,,,,,,,,,,,,,,,
2007,Puros,4561,298,265,68,1184,8500,284,,,,,,,,,,,,,,,,,
2007,Sanitatas,1381,21,273,29,106,1380,163,,,,,,,,,,,,,,,,,
2007,Sesfontein,3840,100,132,,311,2975,275,,,,,,,,,,,,,,,,,
2007,Sorris Sorris,,43,,74,280,4579,926,,,,,,,,,,,,,,,,,
2007,Torra,4413,66,856,556,928,3557,1036,,,,,,,,,,,,,,,,,
2007,Tsiseb,707,,331,46,600,14989,1906,,,,,,,,,,,,,,,,,
