Year,ID_Location,Name,Total route length (km),Total duration (hrs),Number of routes,Area Excluded (km2),Total area (km2),,,,,,,,,,,,,,,,,,
2016,58,Huibes,176,17.2,5,377,1328,,,,,,,,,,,,,,,,,,
2016,14,Oskop,91.7,8.3,2,0,96,,,,,,,,,,,,,,,,,,
2015,36,!Gawachab,42.8,4.2,2,0,132,,,,,,,,,,,,,,,,,,
2015,52,!Han /Awab,256.7,15.2,5,0,1923,,,,,,,,,,,,,,,,,,
2015,23,!Khob !Naub,468,27.8,8,0,2747,,,,,,,,,,,,,,,,,,
2015,24,//Gamaseb,368.5,20,6,0,1748,,,,,,,,,,,,,,,,,,
2015,8001,Hardap Game Park,80,6,2,5,243,,,,,,,,,,,,,,,,,,
2015,58,Huibes,209,11.3,5,377,1328,,,,,,,,,,,,,,,,,,
2015,14,Oskop,82.2,6.6,2,0,96,,,,,,,,,,,,,,,,,,
2014,36,!Gawachab,42.8,4.7,2,0,132,,,,,,,,,,,,,,,,,,
2014,52,!Han /Awab,256.7,15.2,5,0,1923,,,,,,,,,,,,,,,,,,
2014,23,!Khob !Naub,339,19.1,6,0,2747,,,,,,,,,,,,,,,,,,
2014,24,//Gamaseb,368.5,30.4,6,0,1748,,,,,,,,,,,,,,,,,,
2014,8001,Hardap Game Park,80,7.3,2,5,243,,,,,,,,,,,,,,,,,,
2014,58,Huibes,209,13.8,5,377,1328,,,,,,,,,,,,,,,,,,
2014,14,Oskop,82.2,7.8,2,0,96,,,,,,,,,,,,,,,,,,
2013,36,!Gawachab,42.8,3.7,2,0,132,,,,,,,,,,,,,,,,,,
2013,52,!Han /Awab,256.7,18,5,0,1923,,,,,,,,,,,,,,,,,,
2013,23,!Khob !Naub,427,28.3,7,0,2747,,,,,,,,,,,,,,,,,,
2013,24,//Gamaseb,368.5,21,6,0,1748,,,,,,,,,,,,,,,,,,
2013,8001,Hardap Game Park,80,7.8,2,5,243,,,,,,,,,,,,,,,,,,
2013,58,Huibes,209,18.5,5,377,1328,,,,,,,,,,,,,,,,,,
2013,14,Oskop,82.2,7.9,2,0,96,,,,,,,,,,,,,,,,,,
2012,36,!Gawachab,39,3,2,0,132,,,,,,,,,,,,,,,,,,
2012,52,!Han /Awab,258,17.5,5,0,1923,,,,,,,,,,,,,,,,,,
2012,23,!Khob !Naub,373,25.2,7,0,2747,,,,,,,,,,,,,,,,,,
2012,24,//Gamaseb,397.6,20.2,6,0,1748,,,,,,,,,,,,,,,,,,
2012,8001,Hardap Game Park,79,7.3,2,5,243,,,,,,,,,,,,,,,,,,
2012,58,Huibes,203,14.2,5,377,1328,,,,,,,,,,,,,,,,,,
2012,14,Oskop,73,8.3,2,0,96,,,,,,,,,,,,,,,,,,
2011,36,!Gawachab,50,4.5,2,0,132,,,,,,,,,,,,,,,,,,
2011,52,!Han /Awab,295,17.1,5,0,1923,,,,,,,,,,,,,,,,,,
2011,23,!Khob !Naub,441,24.4,7,0,2747,,,,,,,,,,,,,,,,,,
2011,24,//Gamaseb,431,23.3,7,0,1748,,,,,,,,,,,,,,,,,,
2011,8001,Hardap Game Park,96,10,2,5,243,,,,,,,,,,,,,,,,,,
2011,58,Huibes,212.1,15.3,5,377,1328,,,,,,,,,,,,,,,,,,
2011,14,Oskop,34,2.3,1,0,96,,,,,,,,,,,,,,,,,,
2010,36,!Gawachab,50,5.8,2,0,132,,,,,,,,,,,,,,,,,,
2010,52,!Han /Awab,361,18.8,6,0,1923,,,,,,,,,,,,,,,,,,
2010,23,!Khob !Naub,441,25,7,0,2747,,,,,,,,,,,,,,,,,,
2010,24,//Gamaseb,377,22.1,6,0,1748,,,,,,,,,,,,,,,,,,
2010,8001,Hardap Game Park,96,7.5,2,5,243,,,,,,,,,,,,,,,,,,
2010,14,Oskop,34,2.4,1,0,96,,,,,,,,,,,,,,,,,,
2009,36,!Gawachab,50,4,2,0,132,,,,,,,,,,,,,,,,,,
2009,52,!Han /Awab,248,15.9,5,0,1923,,,,,,,,,,,,,,,,,,
2009,23,!Khob !Naub,441,24.8,7,0,2747,,,,,,,,,,,,,,,,,,
2009,24,//Gamaseb,377,21.6,6,0,1748,,,,,,,,,,,,,,,,,,
2009,8001,Hardap Game Park,96,8.2,2,5,243,,,,,,,,,,,,,,,,,,
2009,14,Oskop,34,2.2,1,0,96,,,,,,,,,,,,,,,,,,
2008,36,!Gawachab,26,2.3,2,0,132,,,,,,,,,,,,,,,,,,
2008,23,!Khob !Naub,535,25.3,8,0,2747,,,,,,,,,,,,,,,,,,
2008,24,//Gamaseb,456,22.5,6,0,1748,,,,,,,,,,,,,,,,,,
2008,8001,Hardap Game Park,96,6.7,2,5,243,,,,,,,,,,,,,,,,,,
2008,14,Oskop,32.8,2.3,1,0,96,,,,,,,,,,,,,,,,,,
2007,23,!Khob !Naub,444,22.4,7,0,2747,,,,,,,,,,,,,,,,,,
2007,24,//Gamaseb,333,20.4,5,0,1748,,,,,,,,,,,,,,,,,,
2007,8001,Hardap Game Park,96,8,2,5,243,,,,,,,,,,,,,,,,,,
2007,14,Oskop,32.8,3,1,0,96,,,,,,,,,,,,,,,,,,
2006,23,!Khob !Naub,419,24.1,7,0,2747,,,,,,,,,,,,,,,,,,
2006,24,//Gamaseb,375,21,5,0,1748,,,,,,,,,,,,,,,,,,
2006,8001,Hardap Game Park,96,8.4,2,5,243,,,,,,,,,,,,,,,,,,
2006,14,Oskop,32.8,3,1,0,96,,,,,,,,,,,,,,,,,,
2005,23,!Khob !Naub,444,27.9,7,0,2747,,,,,,,,,,,,,,,,,,
2005,24,//Gamaseb,333,18.8,5,0,1748,,,,,,,,,,,,,,,,,,
2005,8001,Hardap Game Park,96,6.2,2,5,243,,,,,,,,,,,,,,,,,,
2005,14,Oskop,34,2.2,1,0,96,,,,,,,,,,,,,,,,,,
